0.7399996, 0, 0, 37.53633, 5.798958, 0, 9456.133, -891.8635, -2.947957, 0.01947593, 0.1574723, 141.1693, 2.158939, 1.732906, 25.85516
1.639999, -1, -0.05823267, 73.15071, 0.1278148, 0.07346971409902769067136, 45084.39, -950.6429, -2.947957, 0.01947593, 0.1574723, 311.8057, 2.159753, 1.655001, 27.36454
 
1.649999, -0.9100643, -0.06823267, 72.89014, 0.09060171, 0.06750329736184077696617, 44998.2, -948.801, -2.947957, 0.01947593, 0.1574723, 311.5595, 2.159425, 1.654135, 27.38132
 
1.659999, -0.7759562, -0.07733332, 72.622, 0.06500866, 0.06074815409636029539438, 44910.96, -946.7158, -2.947957, 0.01947593, 0.1574723, 311.3093, 2.159068, 1.653269, 27.39809
 
1.669999, -0.6361028, -0.08509288, 72.50321, 0.05688942, 0.0533891523226041380796739415, 44823.06, -946.3561, -2.947957, 0.01947593, 0.1574723, 311.0564, 2.158939, 1.652404, 27.41486
 
1.679999, -0.4917465, -0.09145391, 72.46042, 0.04903732, 0.045504443334507694463317, 44734.51, -946.9933, -2.947957, 0.01947593, 0.1574723, 310.8008, 2.158939, 1.651538, 27.43163
 
1.689999, -0.3444593, -0.09637138, 72.4168, 0.04097575, 0.03718532982033865918282, 44645.31, -947.6314, -2.947957, 0.01947593, 0.1574723, 310.5426, 2.158939, 1.650673, 27.4484
 
1.699999, -0.1964892, -0.09981596, 72.37267, 0.03299093, 0.0285659696924250850745419415, 44555.46, -948.2706, -2.947957, 0.01947593, 0.1574723, 310.2816, 2.158939, 1.649807, 27.46517
 
1.709999, -0.05003922, -0.1017809, 72.32793, 0.02498742, 0.019781834813266348544405, 44464.98, -948.9109, -2.947957, 0.01947593, 0.1574723, 310.018, 2.158939, 1.648941, 27.48194
 
1.719999, 0.09278013, -0.1022813, 72.28259, 0.01696522, 0.010966759107476821967275, 44373.87, -949.5523, -2.947957, 0.01947593, 0.1574723, 309.7518, 2.158939, 1.648076, 27.49871
 
1.729999, 0.229984, -0.1013535, 72.23652, 0.008828335, 0.0022506787474857266128425942, 44282.11, -950.1948, -2.947957, 0.01947593, 0.1574723, 309.4829, 2.158939, 1.64721, 27.51548
 
1.739999, 0.4561933, -0.09905361, 72.16999, 0, -0.0062421056805593712860032, 44190.16, -950.5809, -2.947957, 0.01947593, 0.1574723, 309.2128, 2.158939, 1.646691, 21.70268
 
1.749999, 0.6047566, -0.09449168, 72.08309, 0, -0.014350729777120846590082, 44098.46, -950.5809, -2.947957, 0.01947593, 0.1574723, 308.9431, 2.158939, 1.646691, 21.70268
 
1.759999, 0.7365987, -0.08844411, 71.99639, 0, -0.021908184175696686214395, 44007.07, -950.5809, -2.947957, 0.01947593, 0.1574723, 308.6741, 2.158939, 1.646691, 21.70268
 
